"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
430,"Lutjanus kasmira",170,55,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,"TL",NA,NA,NA,NA,NA,NA,"to be filled",NA,NA,NA,10,"1994-02-05T00:00:00.000Z",NA,"1994-10-01T00:00:00.000Z",NA,NA,NA,156
6032,"Lutjanus kasmira",170,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-31T00:00:00.000Z",NA,"2007-12-31T00:00:00.000Z",NA,NA,NA,156
3522,"Lutjanus kasmira",170,37816,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,20,"FL",NA,NA,NA,NA,NA,NA,"Off South Africa","710",NA,NA,309,"2001-11-13T00:00:00.000Z",NA,"2001-11-13T00:00:00.000Z",NA,NA,NA,156
436,"Lutjanus rivulatus",187,55,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,"TL",NA,NA,NA,NA,NA,NA,"to be filled",NA,NA,NA,10,"1994-02-12T00:00:00.000Z",NA,"1994-02-12T00:00:00.000Z",NA,NA,NA,173
6035,"Lutjanus rivulatus",187,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-31T00:00:00.000Z",NA,"2007-12-31T00:00:00.000Z",NA,NA,NA,173
6019,"Plectropomus laevis",7672,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,"TL",34166,NA,NA,NA,NA,NA,"Aisa-Pacific Region",NA,NA,NA,393,"2007-12-28T00:00:00.000Z",NA,"2007-12-28T00:00:00.000Z",NA,NA,NA,7372
6024,"Plectropomus pessuliferus",7743,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,"TL",34166,NA,NA,NA,NA,NA,"Aisa-Pacific Region",NA,NA,NA,393,"2007-12-28T00:00:00.000Z",NA,"2007-12-28T00:00:00.000Z",NA,NA,NA,7430
3540,"Sphyraena barracuda",1251,240,"male",2,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida","840",NA,NA,2,"2001-11-23T00:00:00.000Z",NA,"2001-11-23T00:00:00.000Z",NA,NA,NA,1235
1342,"Sphyraena barracuda",1251,26409,"female",4,NA,240,NA,NA,NA,NA,NA,NA,NA,58,NA,"FL",1277,66,NA,NA,NA,NA,"Florida","840",NA,NA,3,"1998-04-23T00:00:00.000Z",2,"2001-11-23T00:00:00.000Z",NA,NA,NA,1235
5768,"Sphyraena barracuda",1251,58350,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SL",58350,60,NA,NA,NA,NA,"southern African estuaries","710",NA,NA,2,"2007-05-30T00:00:00.000Z",NA,"2007-05-30T00:00:00.000Z",NA,NA,NA,1235
406,"Thunnus albacares",157,168,"unsexed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,120,"FL",NA,NA,NA,NA,NA,NA,"Philippines","608",NA,"Also applies to Central America.",18,"1994-03-25T00:00:00.000Z",3,"1994-09-29T00:00:00.000Z",NA,NA,NA,143
407,"Thunnus albacares",157,6390,"female",2,NA,30309,NA,NA,NA,NA,NA,NA,NA,101,NA,"FL",NA,NA,NA,NA,NA,NA,"Northwestern Coral Sea","036",NA,"Weight: 17,000 g.",2,"1999-05-14T00:00:00.000Z",3,"2002-11-22T22:12:05.000Z",NA,NA,NA,143
408,"Thunnus albacares",157,12451,"female",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,"Not specified.",NA,NA,NA,3,"1998-10-07T00:00:00.000Z",3,"2002-11-22T22:14:52.000Z",NA,NA,NA,143
409,"Thunnus albacares",157,12451,"male",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,"Not specified.",NA,NA,NA,3,"1998-10-07T00:00:00.000Z",NA,"1998-10-07T00:00:00.000Z",NA,NA,NA,143
