outcome,day_of_year,date_numeric,spp_name,location
0,34,1422907200,White-tail tropicbird,Aldabra
0,163,1434052800,White-tail tropicbird,Aldabra
0,360,1419537600,White-tail tropicbird,Aldabra
0,48,1424116800,White-tail tropicbird,Aldabra
0,135,1431633600,White-tail tropicbird,Aldabra
0,195,1436817600,White-tail tropicbird,Aldabra
0,240,1440705600,White-tail tropicbird,Aldabra
0,299,1445803200,White-tail tropicbird,Aldabra
0,327,1448222400,White-tail tropicbird,Aldabra
0,7,1452110400,White-tail tropicbird,Aldabra
0,68,1457380800,White-tail tropicbird,Aldabra
0,102,1460318400,White-tail tropicbird,Aldabra
0,22,1453406400,White-tail tropicbird,Aldabra
0,190,1467921600,White-tail tropicbird,Aldabra
0,132,1462910400,White-tail tropicbird,Aldabra
0,132,1462910400,White-tail tropicbird,Aldabra
0,264,1285012800,White-tail tropicbird,Aldabra
0,53,1298318400,White-tail tropicbird,Aldabra
0,53,1329854400,White-tail tropicbird,Aldabra
1,331,1353873600,White-tail tropicbird,Aldabra
0,173,1340222400,White-tail tropicbird,Aldabra
1,10,1357761600,White-tail tropicbird,Aldabra
0,133,1368388800,White-tail tropicbird,Aldabra
0,275,1380657600,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,288,1381780800,White-tail tropicbird,Aldabra
0,118,1398628800,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,50,1392753600,White-tail tropicbird,Aldabra
0,338,1417636800,White-tail tropicbird,Aldabra
0,106,1429128000,White-tail tropicbird,Aldabra
0,177,1435262400,White-tail tropicbird,Aldabra
0,313,1447012800,White-tail tropicbird,Aldabra
0,217,1470254400,White-tail tropicbird,Aldabra
0,204,1469131200,White-tail tropicbird,Aldabra
0,204,1469131200,White-tail tropicbird,Aldabra
0,323,1290110400,White-tail tropicbird,Aldabra
0,209,1311796800,White-tail tropicbird,Aldabra
0,295,1287691200,White-tail tropicbird,Aldabra
0,147,1306440000,White-tail tropicbird,Aldabra
0,334,1259524800,White-tail tropicbird,Aldabra
0,193,1278878400,White-tail tropicbird,Aldabra
0,209,1311796800,White-tail tropicbird,Aldabra
0,348,1260734400,White-tail tropicbird,Aldabra
0,57,1267128000,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,40,1265659200,White-tail tropicbird,Aldabra
0,89,1269892800,White-tail tropicbird,Aldabra
1,281,1286481600,White-tail tropicbird,Aldabra
0,348,1260734400,White-tail tropicbird,Aldabra
0,57,1267128000,White-tail tropicbird,Aldabra
0,71,1268337600,White-tail tropicbird,Aldabra
1,250,1283803200,White-tail tropicbird,Aldabra
0,209,1311796800,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,207,1280088000,White-tail tropicbird,Aldabra
1,250,1283803200,White-tail tropicbird,Aldabra
0,341,1323201600,White-tail tropicbird,Aldabra
0,6,1325793600,White-tail tropicbird,Aldabra
0,46,1329249600,White-tail tropicbird,Aldabra
0,46,1329249600,White-tail tropicbird,Aldabra
0,107,1334520000,White-tail tropicbird,Aldabra
0,33,1328126400,White-tail tropicbird,Aldabra
0,20,1327003200,White-tail tropicbird,Aldabra
0,258,1347566400,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,95,1333483200,White-tail tropicbird,Aldabra
1,199,1342468800,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
