date,spp_name,location,n_new_nest,month,date_numeric
2015-01-31T20:00:00Z,White-tail tropicbird,Aride,17,2,1422734400
2015-02-28T20:00:00Z,White-tail tropicbird,Aldabra,0,3,1425153600
2015-02-28T20:00:00Z,White-tail tropicbird,Aride,17,3,1425153600
2015-03-31T20:00:00Z,White-tail tropicbird,Aldabra,3,4,1427832000
2015-03-31T20:00:00Z,White-tail tropicbird,Aride,7,4,1427832000
2015-04-30T20:00:00Z,White-tail tropicbird,Aldabra,3,5,1430424000
2015-04-30T20:00:00Z,White-tail tropicbird,Aride,16,5,1430424000
2015-05-31T20:00:00Z,White-tail tropicbird,Aldabra,5,6,1433102400
2015-05-31T20:00:00Z,White-tail tropicbird,Aride,11,6,1433102400
2015-06-30T20:00:00Z,White-tail tropicbird,Aldabra,2,7,1435694400
2015-06-30T20:00:00Z,White-tail tropicbird,Aride,10,7,1435694400
2015-07-31T20:00:00Z,White-tail tropicbird,Aldabra,4,8,1438372800
2015-07-31T20:00:00Z,White-tail tropicbird,Aride,20,8,1438372800
2015-08-31T20:00:00Z,White-tail tropicbird,Aldabra,1,9,1441051200
2015-08-31T20:00:00Z,White-tail tropicbird,Aride,18,9,1441051200
2015-09-30T20:00:00Z,White-tail tropicbird,Aldabra,2,10,1443643200
2015-09-30T20:00:00Z,White-tail tropicbird,Aride,18,10,1443643200
2015-10-31T20:00:00Z,White-tail tropicbird,Aldabra,2,11,1446321600
2015-10-31T20:00:00Z,White-tail tropicbird,Aride,32,11,1446321600
2015-11-30T20:00:00Z,White-tail tropicbird,Aldabra,0,12,1448913600
2015-11-30T20:00:00Z,White-tail tropicbird,Aride,7,12,1448913600
2015-12-31T20:00:00Z,White-tail tropicbird,Aldabra,8,1,1451592000
2015-12-31T20:00:00Z,White-tail tropicbird,Aride,8,1,1451592000
2016-01-31T20:00:00Z,White-tail tropicbird,Aldabra,3,2,1454270400
2016-01-31T20:00:00Z,White-tail tropicbird,Aride,8,2,1454270400
2016-02-29T20:00:00Z,White-tail tropicbird,Aldabra,1,3,1456776000
2016-02-29T20:00:00Z,White-tail tropicbird,Aride,5,3,1456776000
2016-03-31T20:00:00Z,White-tail tropicbird,Aldabra,5,4,1459454400
2016-03-31T20:00:00Z,White-tail tropicbird,Aride,7,4,1459454400
2016-04-30T20:00:00Z,White-tail tropicbird,Aldabra,3,5,1462046400
2016-04-30T20:00:00Z,White-tail tropicbird,Aride,6,5,1462046400
2016-05-31T20:00:00Z,White-tail tropicbird,Aldabra,1,6,1464724800
2016-05-31T20:00:00Z,White-tail tropicbird,Aride,11,6,1464724800
2016-06-30T20:00:00Z,White-tail tropicbird,Aldabra,7,7,1467316800
2016-06-30T20:00:00Z,White-tail tropicbird,Aride,24,7,1467316800
2016-07-31T20:00:00Z,White-tail tropicbird,Aldabra,3,8,1469995200
2016-07-31T20:00:00Z,White-tail tropicbird,Aride,30,8,1469995200
2016-08-31T20:00:00Z,White-tail tropicbird,Aride,9,9,1472673600
2016-09-30T20:00:00Z,White-tail tropicbird,Aride,6,10,1475265600
2016-10-31T20:00:00Z,White-tail tropicbird,Aride,24,11,1477944000
2016-11-30T20:00:00Z,White-tail tropicbird,Aride,5,12,1480536000
